date,open,high,low,close
10/06/2021,330.790009,333.940002,328.549988,332.459991
11/06/2021,332.579987,332.829987,328.929993,331.26001
14/06/2021,331.899994,336.820007,329.809998,336.769989
15/06/2021,336.98999,339.920013,335.029999,336.75
16/06/2021,336.700012,337.549988,328.720001,331.079987
17/06/2021,330.48999,337.980011,330.149994,336.51001
18/06/2021,334.529999,336.149994,329,329.660004
21/06/2021,331.089996,332.920013,327.649994,332.290009
22/06/2021,332.690002,339.920013,332.600006,339.029999
23/06/2021,339.350006,343.420013,338.200012,340.589996
24/06/2021,341.850006,344.899994,341.790009,343.179993
25/06/2021,342.589996,344.119995,339.679993,341.369995
28/06/2021,342.459991,358.140015,341.769989,355.640015
29/06/2021,356.269989,356.73999,349.049988,351.890015
30/06/2021,352.170013,352.920013,347.170013,347.709991
01/07/2021,346.820007,354.670013,346.5,354.390015
02/07/2021,355.100006,356.440002,352.619995,354.700012
06/07/2021,356.5,358.790009,349.179993,352.779999
07/07/2021,355.26001,356.48999,350,350.48999
08/07/2021,345.730011,348.329987,342.559998,345.649994
09/07/2021,345.320007,350.709991,345.269989,350.420013
12/07/2021,351.230011,354.190002,349.640015,353.160004
13/07/2021,351.5,358.48999,348.799988,352.089996
14/07/2021,354.559998,355.200012,346.730011,347.630005
15/07/2021,349.230011,349.230011,340.220001,344.459991
16/07/2021,344.910004,345.98999,340.140015,341.160004
19/07/2021,337.570007,339.790009,334.540009,336.950012
20/07/2021,338.799988,343.450012,334.5,341.660004
21/07/2021,341.5,346.519989,341.25,346.230011
22/07/2021,346.679993,351.540009,345.209991,351.190002
23/07/2021,360.910004,375.329987,357.190002,369.790009
26/07/2021,369.579987,374.440002,368.220001,372.459991
27/07/2021,371.910004,373.149994,364.549988,367.809998
28/07/2021,374.559998,377.549988,366.929993,373.279999
29/07/2021,361,365.519989,356.73999,358.320007
30/07/2021,354,360.730011,352.940002,356.299988
02/08/2021,358.100006,359.399994,350.73999,351.950012
03/08/2021,352.730011,353.769989,347.700012,351.23999
04/08/2021,352.420013,360.480011,351.51001,358.920013
05/08/2021,359.640015,363.899994,356.899994,362.970001
06/08/2021,361.399994,365.149994,361.399994,363.51001
09/08/2021,363.76001,365.779999,360.75,361.609985
10/08/2021,361.829987,364.100006,359.040009,361.130005
11/08/2021,362.100006,362.359985,357.809998,359.959991
12/08/2021,358.450012,363,357.109985,362.649994
13/08/2021,362.970001,364.660004,361.480011,363.179993
16/08/2021,362.519989,366.950012,357.380005,366.559998
17/08/2021,362.980011,364.670013,355.070007,358.450012
18/08/2021,356.25,359.859985,355.149994,355.450012
19/08/2021,351.350006,357.570007,351,355.119995
20/08/2021,354.600006,359.98999,353.309998,359.369995
23/08/2021,359.440002,365.690002,359.100006,363.350006
24/08/2021,363.660004,367.959991,361.839996,365.51001
25/08/2021,365.600006,370.859985,365.399994,368.390015
26/08/2021,368.380005,369.440002,364.130005,364.380005
27/08/2021,365.100006,373.73999,364.079987,372.630005
30/08/2021,372.559998,381.48999,370.519989,380.660004
31/08/2021,379.950012,382.76001,378.799988,379.380005
01/09/2021,379.589996,384.329987,378.809998,382.049988
02/09/2021,381.5,381.75,374.059998,375.279999
03/09/2021,374.75,377.160004,373.109985,376.26001
07/09/2021,375.880005,382.959991,373.149994,382.179993
08/09/2021,380.160004,380.869995,374.790009,377.570007
09/09/2021,377.640015,379.829987,376.570007,378
10/09/2021,381.359985,383.790009,378.26001,378.690002
13/09/2021,381.679993,381.75,374.350006,376.51001
14/09/2021,377.399994,378.589996,375.109985,376.529999
15/09/2021,377,377.559998,367.670013,373.920013
16/09/2021,372.790009,373.559998,369.709991,373.059998
17/09/2021,371.410004,371.410004,361.589996,364.720001
20/09/2021,359.299988,361.029999,349.799988,355.700012
21/09/2021,358.5,360.040009,355.190002,357.480011
22/09/2021,347.230011,349.839996,340.690002,343.209991
23/09/2021,345.359985,349.670013,343,345.959991
24/09/2021,343.23999,354.350006,342.369995,352.959991
27/09/2021,349.809998,355.149994,347.079987,353.579987
28/09/2021,347.970001,349.600006,338.920013,340.649994
29/09/2021,343.149994,345.230011,338.880005,339.609985
30/09/2021,340.450012,342.799988,338.149994,339.390015
01/10/2021,341.609985,345.019989,338.640015,343.01001
04/10/2021,335.529999,335.940002,322.700012,326.230011
05/10/2021,328.579987,335.179993,326.160004,332.959991
06/10/2021,329.73999,334.380005,325.799988,333.640015
07/10/2021,337,338.839996,328.980011,329.220001
08/10/2021,331.51001,333.399994,328.709991,330.049988
11/10/2021,327.630005,330.459991,325.309998,325.450012
12/10/2021,323.029999,324.380005,317.369995,323.769989
13/10/2021,326.970001,327,322.660004,324.540009
14/10/2021,328.359985,330.519989,327.100006,328.529999
15/10/2021,328.679993,329.070007,322.51001,324.76001
18/10/2021,328.950012,335.890015,327.5,335.339996
19/10/2021,339.649994,342.459991,337.279999,339.98999
20/10/2021,343.450012,343.980011,339.450012,340.779999
21/10/2021,340.279999,342.309998,337.799988,341.880005
22/10/2021,326.350006,329.630005,321.109985,324.609985
25/10/2021,320.299988,329.559998,319.720001,328.690002
26/10/2021,328.26001,330.209991,309.600006,315.809998
27/10/2021,314.190002,319.25,312.059998,312.220001
28/10/2021,312.98999,325.519989,308.109985,316.920013
29/10/2021,320.190002,326,319.600006,323.570007
01/11/2021,326.040009,333.450012,326,329.980011
02/11/2021,331.380005,334.790009,323.799988,328.079987
03/11/2021,327.48999,332.149994,323.200012,331.619995
04/11/2021,334.01001,337.269989,332.649994,335.850006
05/11/2021,340.309998,346.790009,339.640015,341.130005
08/11/2021,344.420013,344.790009,338.339996,338.619995
09/11/2021,340,341.309998,334.470001,335.369995
10/11/2021,332.48999,333.190002,325.51001,327.640015
11/11/2021,329.820007,332.459991,327,327.73999
12/11/2021,330.179993,341.859985,329.779999,340.890015
15/11/2021,344.339996,353.649994,343.200012,347.559998
16/11/2021,343.829987,346.649994,340.869995,342.959991
17/11/2021,344.23999,347.299988,340.100006,340.769989
18/11/2021,339.720001,342.459991,335.299988,338.690002
19/11/2021,342.200012,352.100006,339.899994,345.299988
22/11/2021,349.049988,353.829987,340.51001,341.01001
23/11/2021,338.929993,341.399994,333.5,337.25
24/11/2021,336,341.779999,332.809998,341.059998
26/11/2021,335.799988,337.75,331.899994,333.119995
29/11/2021,336.890015,340.670013,335.309998,338.029999
30/11/2021,335,335.809998,323.429993,324.459991
01/12/2021,330.290009,330.5,310.290009,310.600006
02/12/2021,311.399994,314.600006,307.200012,310.390015
03/12/2021,313.730011,313.75,299.5,306.839996
06/12/2021,308.130005,320.100006,306.339996,317.869995
07/12/2021,321.570007,326.540009,321,322.809998
08/12/2021,325,332.75,323.070007,330.559998
09/12/2021,329.540009,336.130005,328,329.820007
10/12/2021,332.559998,335.029999,326.369995,329.75
13/12/2021,330.950012,341.089996,329.589996,334.48999
14/12/2021,328.049988,335.700012,327.649994,333.73999
15/12/2021,332.48999,342.109985,323.980011,341.660004
16/12/2021,338.980011,344.459991,333.73999,334.899994
17/12/2021,332.799988,337.109985,330.75,333.790009
20/12/2021,329.779999,329.899994,322.529999,325.450012
21/12/2021,326.410004,336,323.75,334.200012
22/12/2021,333.799988,334.51001,328.26001,330.450012
23/12/2021,330.100006,336.670013,328.359985,335.23999
27/12/2021,338.850006,347.869995,338.01001,346.179993
28/12/2021,346.630005,352.709991,345.200012,346.220001
29/12/2021,346.910004,349.690002,341.640015,342.940002
30/12/2021,344,347.230011,343.220001,344.359985
31/12/2021,343.019989,343.440002,336.269989,336.350006
03/01/2022,338.299988,341.079987,337.190002,338.540009
04/01/2022,339.950012,343.089996,331.869995,336.529999
05/01/2022,333.019989,335.76001,323.839996,324.170013
06/01/2022,322.820007,339.170013,322.720001,332.459991
07/01/2022,332.73999,337,328.880005,331.790009
10/01/2022,325.309998,328.339996,315.429993,328.070007
11/01/2022,326.779999,334.630005,325.279999,334.369995
12/01/2022,335.179993,336.369995,330.029999,333.26001
13/01/2022,334.980011,335.630005,325.76001,326.480011
14/01/2022,321.790009,332.730011,321.209991,331.899994
18/01/2022,323.290009,324.209991,317.640015,318.149994
19/01/2022,319.579987,327.100006,319.329987,319.589996
20/01/2022,323.899994,327.820007,315.980011,316.559998
21/01/2022,314.809998,318.309998,303.040009,303.170013
24/01/2022,297.839996,309.529999,289.01001,308.709991
25/01/2022,299.950012,306.230011,297.579987,300.149994
26/01/2022,307.01001,307.51001,290.850006,294.630005
27/01/2022,297.75,301.709991,294.26001,294.640015
28/01/2022,295.619995,301.899994,293.029999,301.709991
31/01/2022,300.679993,313.790009,299.320007,313.26001
01/02/2022,314.559998,319.660004,312.119995,319
02/02/2022,327.820007,328,316.869995,323
03/02/2022,244.649994,248,235.75,237.759995
04/02/2022,234.970001,242.610001,230.110001,237.089996
07/02/2022,237.699997,238.300003,224.009995,224.910004
08/02/2022,220.850006,225.770004,216.149994,220.179993
09/02/2022,224.199997,233.369995,222.210007,232
10/02/2022,228.270004,235,226.699997,228.070007
11/02/2022,228.460007,230.419998,218.770004,219.550003
14/02/2022,219.309998,221,214.779999,217.699997
15/02/2022,220.470001,221.149994,215.059998,221
16/02/2022,212.410004,217.460007,212.360001,216.539993
17/02/2022,214.020004,217.5,207.160004,207.710007
18/02/2022,209.389999,210.75,205.179993,206.160004
22/02/2022,202.339996,207.479996,200.059998,202.080002
23/02/2022,204.160004,206.940002,198.050003,198.449997
24/02/2022,191.059998,208.350006,190.220001,207.600006
25/02/2022,204.940002,211.320007,203.179993,210.479996
28/02/2022,207.679993,213.149994,206.830002,211.029999
01/03/2022,209.869995,211.75,202.220001,203.490005
02/03/2022,204.779999,209.149994,202.020004,208.110001
03/03/2022,209.020004,209.080002,201.419998,202.970001
04/03/2022,202.369995,205.889999,198.789993,200.059998
07/03/2022,200.789993,200.889999,187.279999,187.470001
08/03/2022,187.850006,196.699997,186.110001,190.289993
09/03/2022,195.740005,199.100006,193.919998,198.5
10/03/2022,194.839996,196.279999,191.070007,195.210007
11/03/2022,192.639999,193.559998,186.669998,187.610001
14/03/2022,187.029999,192.289993,185.820007,186.630005
15/03/2022,190.800003,192.279999,185.910004,192.029999
16/03/2022,194.699997,203.729996,194.520004,203.630005
